Barnaby,2013-07-06,75,48
Barnaby,2013-07-07,81,49
Barnaby,2013-07-08,85,51
Barnaby,2013-07-09,84,49
Barnaby,2013-07-10,80,48
Barnaby,2013-07-11,73,48
Barnaby,2013-07-12,77,49
Barnaby,2013-07-13,79,46
Barnaby,2013-07-14,74,48
Barnaby,2013-07-15,67,48
Barnaby,2013-07-16,65,51
Barnaby,2013-07-17,73,51
Barnaby,2013-07-18,78,46
Barnaby,2013-07-19,81,48
Barnaby,2013-07-20,81,49
Barnaby,2013-07-21,84,49
Barnaby,2013-07-22,79,55
Barnaby,2013-07-23,77,55
Barnaby,2013-07-24,84,52
Barnaby,2013-07-25,79,51
Barnaby,2013-07-26,79,51
Barnaby,2013-07-27,81,51
Barnaby,2013-07-28,72,50
Barnaby,2013-07-29,61,52
Barnaby,2013-07-30,75,50
Barnaby,2013-07-31,73,50
Barnaby,2013-08-01,70,51
Barnaby,2013-08-02,80,49
Barnaby,2013-08-03,77,49
Barnaby,2013-08-04,72,50
Barnaby,2013-08-05,74,49
Barnaby,2013-08-06,69,50
Barnaby,2013-08-07,65,53
Barnaby,2013-08-08,71,51
Barnaby,2013-08-09,69,51
Barnaby,2013-08-10,74,53
Barnaby,2013-08-11,72,52
Barnaby,2013-08-12,83,51
Barnaby,2013-08-13,85,48
Barnaby,2013-08-14,75,51
Barnaby,2013-08-15,77,59
Barnaby,2013-08-16,85,56
Barnaby,2013-08-17,74,54
Barnaby,2013-08-18,94,54
Barnaby,2013-08-19,90,58
Barnaby,2013-08-20,79,54
Barnaby,2013-08-21,78,53
Barnaby,2013-08-22,72,53
Barnaby,2013-08-23,74,53
Barnaby,2013-08-24,75,53
Barnaby,2013-08-25,78,57
Barnaby,2013-08-26,70,54
Barnaby,2013-08-27,79,54
Barnaby,2013-08-28,77,56
Barnaby,2013-08-29,79,58
Barnaby,2013-08-30,83,58
Barnaby,2013-08-31,74,54
Barnaby,2013-09-01,77,53
Barnaby,2013-09-02,77,58
Barnaby,2013-09-03,75,56
Barnaby,2013-09-04,70,56
Barnaby,2013-09-05,70,56
Barnaby,2013-09-06,90,54
Barnaby,2013-09-07,96,58
Barnaby,2013-09-08,85,55
Barnaby,2013-09-09,89,54
Barnaby,2013-09-10,69,53
Barnaby,2013-09-11,67,59
Barnaby,2013-09-12,73,54
Barnaby,2013-09-13,71,52
Barnaby,2013-09-14,66,53
Barnaby,2013-09-15,76,54
Barnaby,2013-09-16,76,55
Barnaby,2013-09-17,65,52
Barnaby,2013-09-18,81,52
Barnaby,2013-09-19,88,52
Barnaby,2013-09-20,72,53
